"","seqtaball","seqtabmergednoc"
"BUS1",17786,14283
"BUS10",9955,8862
"BUS10post",20416,16610
"BUS11",12953,11217
"BUS11post",23118,19532
"BUS12",23752,20373
"BUS12post",21984,18783
"BUS13",5165,4843
"BUS13post",10228,8786
"BUS14",15507,13814
"BUS14post",8175,7259
"BUS15",23768,20061
"BUS15post",29531,24393
"BUS16",19676,17426
"BUS16post",19785,15983
"BUS17",13918,11618
"BUS17post",17850,14593
"BUS18",12284,10621
"BUS18post",15796,12498
"BUS19",18005,14875
"BUS19post",14644,12170
"BUS1post",18462,14363
"BUS2",18230,15966
"BUS20",15752,13653
"BUS20post",15283,13387
"BUS21",12909,12097
"BUS21post",10730,8811
"BUS22",18750,17141
"BUS22post",24544,20633
"BUS23",15846,14271
"BUS23post",9487,8013
"BUS24",19959,19004
"BUS24post",22080,17556
"BUS25",21978,18638
"BUS25post",19448,14875
"BUS26",6697,6355
"BUS26post",15786,13602
"BUS27",19056,17273
"BUS27post",20399,17678
"BUS28",24196,21654
"BUS28post",19501,17480
"BUS29",14225,11484
"BUS29post",12865,10761
"BUS2post",8742,7702
"BUS3",33102,29508
"BUS30",12487,10111
"BUS30post",18922,14164
"BUS31",27787,21933
"BUS31post",16567,10922
"BUS32",23539,19076
"BUS3post",25051,18429
"BUS4",6245,5526
"BUS4post",8963,7073
"BUS5",3006,2851
"BUS5post",21053,15844
"BUS6",19159,14576
"BUS6post",3198,2748
"BUS7",15640,13582
"BUS7post",7392,6678
"BUS8",19106,16361
"BUS8post",22614,18642
"BUS9",15299,13214
"BUS9post",14441,12256
"DS1",16718,16375
"DS10",11058,10756
"DS10post",18795,18547
"DS11",2095,2083
"DS11post",12569,12384
"DS12",7777,7351
"DS12post",2895,2863
"DS13",18382,16081
"DS13post",34218,33796
"DS14",24264,22375
"DS14post",33240,32502
"DS15",16825,15508
"DS15post",15550,14758
"DS16",9645,9374
"DS16post",11310,11215
"DS18",33125,28738
"DS18post",11527,11298
"DS19",12230,10760
"DS19post",13378,12780
"DS1post",18433,17873
"DS2",13996,13530
"DS20",21222,18479
"DS20post",22831,19446
"DS21",12775,11354
"DS21post",25548,23237
"DS22",18575,15947
"DS22post",21689,19851
"DS23",26213,23506
"DS23post",20447,18585
"DS24",14129,12140
"DS24post",19110,16124
"DS25",11435,9870
"DS25post",17113,14303
"DS26",13977,12014
"DS26post",11087,9269
"DS27",9709,8407
"DS28",22260,18477
"DS28post",41108,34808
"DS29",27002,23831
"DS29post",16885,15386
"DS2post",15648,15621
"DS3",5434,5279
"DS30",11315,10217
"DS30post",18529,17178
"DS31",13477,11908
"DS31post",17617,16657
"DS32",18787,16711
"DS32post",16954,15519
"DS3post",19596,18824
"DS4",15204,15121
"DS4post",17590,17093
"DS5",11370,10633
"DS5post",18649,18445
"DS6",10998,10398
"DS6post",17635,17412
"DS7",6787,6563
"DS7post",16807,16617
"DS8",14301,13878
"DS8post",23767,23633
"DS9",16874,16460
"DS9post",22013,21787
"DSBILGE",9634,8719
"DSBILGEpost",10692,10138
"GB1",2526,2436
"GB10",20845,17956
"GB10post",22618,20702
"GB11",20961,17411
"GB11post",5606,5147
"GB12",18311,16469
"GB12post",19733,17356
"GB13",5198,5153
"GB13post",18802,18758
"GB14",3106,3094
"GB14post",26039,25797
"GB15",282,282
"GB15post",11249,11230
"GB16",1613,1613
"GB165",4247,4188
"GB165post",8961,8867
"GB16post",300,297
"GB17",1038,944
"GB175",16566,15798
"GB175post",3822,3818
"GB17post",8821,8786
"GB19",12543,12179
"GB19post",1125,1116
"GB1post",27439,26305
"GB2",23120,21281
"GB20",22365,20867
"GB20post",17769,17535
"GB21",18460,17627
"GB21post",24758,24641
"GB22",10028,9941
"GB22post",7969,7953
"GB24",11352,10492
"GB24post",10086,9841
"GB25",17410,15562
"GB25post",21335,20689
"GB26",18357,17644
"GB26post",15001,13750
"GB27",19909,19576
"GB27post",17163,16385
"GB28",12206,11219
"GB28post",18494,16984
"GB29",3424,3423
"GB29post",16355,14786
"GB2post",2729,2672
"GB3",24041,23124
"GB31",13738,12965
"GB31post",879,863
"GB32",22721,20836
"GB32post",25293,22911
"GB33",18287,17362
"GB33post",12208,11059
"GB3post",18163,16683
"GB4",22522,20862
"GB4post",19844,19377
"GB5",4070,4068
"GB5post",197586,193533
"GB6",21933,20101
"GB6post",16088,15597
"GB7",28007,24439
"GB7post",23551,21198
"GB8",15909,14436
"GB8post",19970,18994
"GB9",28009,23708
"GB9post",23692,22507
"GBBILGE",18858,17577
"GBBILGEpost",15458,13619
"HK1",33261,23232
"HK10",26493,19948
"HK10post",26264,18995
"HK11",4758,4090
"HK11post",4426,3741
"HK12",21513,16215
"HK12post",22582,16550
"HK13",19042,14327
"HK13post",6420,4674
"HK14",19544,13354
"HK14post",19939,12889
"HK15",19826,15463
"HK15post",14199,10718
"HK16",26936,18457
"HK16post",29904,19179
"HK17",11529,9535
"HK17post",28258,17547
"HK18",23828,16118
"HK18post",40741,30667
"HK19",10063,8293
"HK19post",12964,10711
"HK2",15876,11373
"HK20",20780,15359
"HK20post",24756,16620
"HK21",8443,6550
"HK21post",25045,22330
"HK22",24843,17415
"HK22post",28424,19734
"HK23",14809,11603
"HK23post",22023,15767
"HK24",1892,1702
"HK24post",23616,15837
"HK25",9169,7560
"HK25post",2430,2121
"HK26",20489,13744
"HK26post",24279,16358
"HK27",7586,6865
"HK27post",25913,17604
"HK28",234,232
"HK28post",11710,7905
"HK29",21564,17451
"HK29post",29992,17853
"HK2post",26165,18913
"HK3",2569,2530
"HK30",26966,19473
"HK30post",30443,20325
"HK31",20150,15030
"HK31post",12469,9642
"HK32",19019,13984
"HK32post",19401,12984
"HK33",6946,5713
"HK33post",25578,16724
"HK34",21959,17420
"HK34post",22321,21279
"HK35",19706,15067
"HK35post",23703,16469
"HK3post",28135,20510
"HK4",42729,31718
"HK4post",18408,18398
"HK5",36462,23087
"HK5post",22565,15875
"HK6",26029,17250
"HK6post",24354,17800
"HK7",10695,8416
"HK7post",13988,11117
"HK8",13754,10362
"HK8post",17174,12196
"HKBALLAST",20323,16107
"HKBALLASTpost",25520,15169
"KEW1",24398,21153
"KEW10",5360,5014
"KEW10post",8587,6999
"KEW11",3875,3576
"KEW11post",20122,14866
"KEW12",28182,23542
"KEW12post",10788,7465
"KEW13",15680,13654
"KEW13post",8930,7685
"KEW14",27042,23763
"KEW14post",34336,28967
"KEW15",23927,22147
"KEW15post",29127,19368
"KEW16",11616,10020
"KEW16post",20621,16792
"KEW17",8470,7593
"KEW17post",13350,10736
"KEW18",2956,2937
"KEW18post",14100,12050
"KEW19",8076,7619
"KEW19post",19538,15192
"KEW1post",20443,16150
"KEW2",30278,27603
"KEW20",26447,25785
"KEW20post",21265,15851
"KEW21",15442,13501
"KEW22",62251,59682
"KEW22post",24373,21052
"KEW23",20402,14796
"KEW23post",13943,12364
"KEW24",16773,15723
"KEW24post",11190,9263
"KEW25",15146,13290
"KEW25post",29622,25047
"KEW26",13482,11864
"KEW26post",22698,19419
"KEW27",14995,13638
"KEW27post",17270,14774
"KEW28",19133,16524
"KEW28post",29758,26429
"KEW29",19305,15460
"KEW29post",16603,13742
"KEW2post",18643,16669
"KEW3",7505,7379
"KEW30",19073,16034
"KEW30post",25126,22747
"KEW31",19122,16741
"KEW31post",23855,20571
"KEW32",17319,15425
"KEW32post",16573,14328
"KEW33",14881,13164
"KEW33post",25434,19886
"KEW34",25844,25346
"KEW34post",27036,20665
"KEW35",3029,2907
"KEW35post",21259,16600
"KEW36",16140,14903
"KEW36post",26750,20871
"KEW37",23397,17897
"KEW37post",30997,28925
"KEW38",19210,15784
"KEW38post",9406,9283
"KEW3post",21205,15230
"KEW4",13094,11760
"KEW4post",23586,17794
"KEW5",16571,13296
"KEW5post",1764,1758
"KEW6",31290,26164
"KEW6post",36128,27087
"KEW7",4899,4360
"KEW7post",22896,18312
"KEW8",23873,18912
"KEW8post",31700,22376
"KEW9",5242,5020
"KEW9post",7387,5921
"KEWTECHTSUMMERBILGE",14698,10658
"KEWTECHTSUMMERBILGEpost",17297,16214
"LA1",19436,17103
"LA10",10188,8950
"LA10post",3731,3638
"LA11",26110,23600
"LA12",29668,29485
"LA12post",13551,11321
"LA13",21740,21575
"LA13post",2289,2279
"LA14",19058,18175
"LA14post",14061,12508
"LA15",14286,13331
"LA15post",11006,8931
"LA16",26885,25768
"LA16post",22485,20488
"LA17",19817,17842
"LA17post",13886,11580
"LA18",5829,5176
"LA18post",5354,5034
"LA19post",5608,4409
"LA1post",29984,25504
"LA2",15714,14458
"LA20",7965,7900
"LA20post",2791,2405
"LA21",20229,19011
"LA21post",12399,11313
"LA22",4516,4078
"LA22post",3904,3112
"LA23",3613,3400
"LA23post",11242,9385
"LA24",19074,16321
"LA24post",9630,9309
"LA25post",39030,32592
"LA26post",18015,14946
"LA27",10594,8568
"LA27post",17086,14477
"LA28",17194,14670
"LA28post",29468,27078
"LA29",26056,21183
"LA29post",23867,22229
"LA2post",25735,25673
"LA3",16760,15363
"LA30",9252,8141
"LA30post",13488,12421
"LA31",15535,12743
"LA31post",15340,13026
"LA32",6725,6115
"LA32post",6900,6666
"LA33",14403,12275
"LA33post",17109,16066
"LA34",10635,8839
"LA34post",15874,14899
"LA3post",11351,10371
"LA4",18164,15875
"LA4post",20029,18343
"LA5",13822,11565
"LA5post",31700,31602
"LA6",7689,7108
"LA6post",10014,9122
"LA7",12147,10492
"LA7post",14968,13078
"LA8",4463,4196
"LA8post",7069,6552
"LA9",10752,9522
"LA9post",10267,8606
"LABILGE",20248,11622
"LABILGEpost",16148,10900
"NEGCONTROL",2501,2501
"NEGCONTROLpost",212,203
"OAK1",3657,3418
"OAK10",20933,18541
"OAK10post",13877,11515
"OAK11",10165,7506
"OAK11post",18153,15200
"OAK12",21992,20782
"OAK12post",4467,4021
"OAK14",18671,9903
"OAK14post",6600,5113
"OAK15",17197,12816
"OAK15post",5551,4960
"OAK16",15505,11406
"OAK16post",9985,8110
"OAK17",14283,11503
"OAK17post",11519,9342
"OAK18",19845,18053
"OAK18post",14967,11510
"OAK19",18991,17904
"OAK19post",18345,16670
"OAK1post",7234,6038
"OAK2",13647,11089
"OAK20",16955,14434
"OAK20post",24071,18205
"OAK21",17333,13939
"OAK21post",19398,16070
"OAK22",14437,11171
"OAK22post",15100,12126
"OAK23",12989,10465
"OAK23post",17423,13386
"OAK24",12241,10111
"OAK24post",29917,25335
"OAK25",23614,20544
"OAK25post",22459,19554
"OAK26",6353,4994
"OAK26post",8695,7700
"OAK27",17763,15925
"OAK27post",9555,7296
"OAK28",14018,11287
"OAK28post",6146,5443
"OAK29",11429,9885
"OAK29post",9612,7679
"OAK2post",10329,8800
"OAK3",5539,4829
"OAK30",16513,12903
"OAK30post",20121,15810
"OAK31",23681,19517
"OAK31post",23155,19304
"OAK3post",8408,6841
"OAK4",12162,9953
"OAK4post",17088,14903
"OAK5",14072,12509
"OAK5post",14844,12529
"OAK6",18873,15677
"OAK6post",24896,20599
"OAK7",12024,9943
"OAK7post",17074,14389
"OAK9",26107,23970
"OAK9post",19337,15309
"OAKBILGE",17479,15611
"OAKBILGEpost",32371,22254
"SEA1",11828,10544
"SEA10",7498,6435
"SEA10post",5368,4660
"SEA11",11460,10260
"SEA11post",19279,17591
"SEA12",13395,11573
"SEA12post",29454,25294
"SEA13",11971,10482
"SEA13post",22122,19554
"SEA14",19357,16805
"SEA14post",19566,17170
"SEA15",19298,17340
"SEA15post",15118,13404
"SEA16",18804,15878
"SEA16post",26918,20770
"SEA17",22576,18653
"SEA17post",22178,19398
"SEA18",11114,9382
"SEA18post",17072,14096
"SEA19",17771,14163
"SEA19post",21744,18311
"SEA1post",19414,15440
"SEA2",21168,19069
"SEA20",6446,5693
"SEA20post",22929,18806
"SEA21",3700,3261
"SEA21post",22347,16966
"SEA22",15361,11733
"SEA22post",4402,3993
"SEA23",19183,14065
"SEA23post",9662,7523
"SEA24",12528,9452
"SEA24post",8257,6935
"SEA25",5468,4436
"SEA25post",21728,15871
"SEA26",12634,10111
"SEA26post",16771,11717
"SEA27",11051,9325
"SEA27post",15900,13055
"SEA28",18455,15020
"SEA28post",25760,20997
"SEA29",16212,13314
"SEA29post",19945,15802
"SEA2post",32808,26402
"SEA3",15024,13213
"SEA30",18807,15260
"SEA30post",18319,15187
"SEA3post",8285,7453
"SEA4",8591,7349
"SEA4post",18958,16353
"SEA5",14681,12940
"SEA5post",28656,24885
"SEA6",14869,12605
"SEA6post",22678,18083
"SEA7",7702,6725
"SEA7post",10732,8779
"SEA8",14111,11525
"SEA8post",32664,26414
"SEA9",2875,2547
"SEA9post",9933,7734
"SING1",20796,16395
"SING10",25695,19485
"SING10post",24562,20159
"SING11post",6526,5418
"SING12",23348,17127
"SING12post",18101,14848
"SING13",37562,29354
"SING13post",14097,10363
"SING14",31434,26839
"SING14post",10722,7807
"SING15",53443,42826
"SING15post",25324,17468
"SING16",22427,19032
"SING16post",26834,19662
"SING17",26631,21674
"SING17post",28884,20665
"SING18",17989,14965
"SING18post",18058,14271
"SING19",44704,43282
"SING19post",10765,9379
"SING1post",6696,6259
"SING2",4452,3863
"SING20",18119,16822
"SING20post",11955,7727
"SING21",16300,11831
"SING21post",9212,8205
"SING22",11995,8073
"SING22post",16759,13217
"SING23",20107,13991
"SING23post",31405,27184
"SING24",18461,13222
"SING24post",221,221
"SING25",102,102
"SING25post",44329,36084
"SING26",157,157
"SING26post",28007,18304
"SING27",21660,17201
"SING27post",20128,14486
"SING28",25230,20301
"SING28post",11058,9307
"SING29",25619,20258
"SING29post",33687,29508
"SING2post",23613,19608
"SING3",20569,12350
"SING30",13782,8884
"SING30post",13667,11522
"SING31",7722,6475
"SING31post",13410,12309
"SING32",16568,12153
"SING32post",15825,14568
"SING33",4957,3996
"SING33post",18394,15965
"SING3post",2353,2182
"SING4",10801,7776
"SING4post",34687,30375
"SING5",27395,17846
"SING5post",29720,24545
"SING6",23674,22917
"SING6post",26201,23598
"SING7",11907,9398
"SING7post",16401,13184
"SING8",21997,12688
"SING8post",19356,14011
"SING9",19589,13626
"SING9post",15483,13305
"SINGBILGE1",10968,9914
"SINGBILGE1post",29423,27271
"SINGBILGE2",18382,16781
"SINGBILGE2post",22839,20089
"SSWABEABR2",5908,5834
"SWABDSLD",16235,16090
"SWABDSRD",18735,13320
"SWABDULUTHLS",5818,5805
"SWABDULUTHRS",2288,2282
"SWABGBLD",11447,11395
"SWABGBLS",321,321
"SWABGBRD",22728,14333
"SWABGBRS",87281,86602
"SWABHKBL",20126,18371
"SWABHKBR",8561,8390
"SWABHKDECK",74863,73141
"SWABHKFL",26176,22959
"SWABHKFR",33321,32337
"SWABHKREALBACK",10319,10271
"SWABKEWBILGE",26746,20127
"SWABKEWBL",34538,32809
"SWABKEWBR",19483,19474
"SWABKEWDECK",23277,15785
"SWABKEWFL",8287,8254
"SWABKEWFR",42831,42043
"SWABLABL",7954,7950
"SWABLABR",4831,4826
"SWABLADECK",24331,21485
"SWABLAFL",57822,57197
"SWABLAFR",5094,5085
"SWABOAKBL1",82591,82245
"SWABOAKBL2",4263,4250
"SWABOAKBR1",36486,36409
"SWABOAKBR2",71822,71249
"SWABOAKDECK",17999,11701
"SWABSEABILGE1",21252,21160
"SWABSEABILGE2",48365,48033
"SWABSEABILGE3",23517,21781
"SWABSEABL1",92899,91538
"SWABSEABL2",69689,69281
"SWABSEABR",17326,17074
"SWABSEADECK",23342,23182
"SWABSINGBL",493,487
"SWABSINGBL2",5082,5065
"SWABSINGBR2A",11775,11753
"SWABSINGBR2B",154,154
"SWABSINGDECK",27705,26276
"SWABSINGDECK2",35774,35436
"SWABSINGFL",5350,5265
"SWABSINGFL2",3113,3069
"SWABSINGFR2A",8946,8871
"SWABSINGFR2B",294,294
"SWABSKORABILGE",33139,26258
"SWABSKORABL",44592,43884
"SWABSKOREABR",35621,35255
"SWABSKOREADECK",30930,28774
"SWABSKOREAFL",11582,11379
"SWABSKOREAFR",7302,7260
"BALT1",19173,15003
"BALT10",23329,18694
"BALT10post",16041,10945
"BALT11",26260,20001
"BALT11post",14422,9899
"BALT12",22108,16119
"BALT12post",16383,12516
"BALT13",21283,16874
"BALT13post",23138,15704
"BALT14",18127,14238
"BALT14post",8133,6004
"BALT15",8214,6819
"BALT15post",10377,7331
"BALT16",18717,14741
"BALT16post",17421,12329
"BALT17",12890,10097
"BALT17post",11133,8250
"BALT19",14644,8732
"BALT19post",26173,18191
"BALT1post",19641,13164
"BALT2",11681,10248
"BALT20",20522,16024
"BALT20post",13190,10545
"BALT21",17758,14198
"BALT21post",21612,15324
"BALT22",23424,18209
"BALT22post",22363,16080
"BALT23",19224,15094
"BALT23post",24166,16982
"BALT24",25365,19056
"BALT24post",22423,16570
"BALT25",21232,16482
"BALT25post",18517,12675
"BALT27",20427,16522
"BALT27post",18031,13515
"BALT28",12815,10677
"BALT28point5",13353,11894
"BALT28point5post",12912,10598
"BALT28post",14561,11624
"BALT29",29400,24212
"BALT29post",21509,17953
"BALT2post",12380,9387
"BALT3",14005,10961
"BALT30",11274,9819
"BALT30post",12726,10274
"BALT3post",7355,5573
"BALT4",13329,10849
"BALT4post",4051,3413
"BALT5",14404,11907
"BALT5post",14882,10712
"BALT6",17795,13947
"BALT6post",11397,7958
"BALT7",13905,10315
"BALT7post",23630,14894
"BALT8",13887,11206
"BALT8point5",17452,13184
"BALT8point5post",16038,11314
"BALT8post",13938,9388
"BALT9",16676,13056
"BALT9post",15936,10784
"CHA1",328,328
"CHA10",9003,7887
"CHA10post",7164,6491
"CHA11",6758,5802
"CHA11post",5422,5043
"CHA12",6141,5598
"CHA12post",10087,9002
"CHA13",8134,6363
"CHA13post",7549,6073
"CHA14",7842,6840
"CHA14post",7644,6459
"CHA15",2198,2122
"CHA15post",11744,9778
"CHA16",11227,9977
"CHA16post",324,324
"CHA17",13234,11323
"CHA17post",12005,9579
"CHA18",15170,13444
"CHA18post",20278,15991
"CHA19",15373,13125
"CHA19post",22048,18406
"CHA1post",8884,7489
"CHA2",3609,3335
"CHA20",6360,5767
"CHA20post",11282,9366
"CHA21",12384,10181
"CHA21post",14997,14823
"CHA22",15413,12525
"CHA22post",18314,16373
"CHA23",7935,7444
"CHA23post",9136,7790
"CHA24",10368,9248
"CHA24post",8567,8095
"CHA25",15602,14322
"CHA25post",5173,4110
"CHA26",16842,15987
"CHA26post",8910,7568
"CHA27",29409,20965
"CHA27post",6192,5560
"CHA28",18409,14816
"CHA28post",13175,10971
"CHA29",1242,1222
"CHA29post",17952,13717
"CHA2post",520,518
"CHA3",7256,6663
"CHA30",31993,26558
"CHA30post",2393,2374
"CHA31",24527,19449
"CHA31post",16220,13963
"CHA3post",8779,7868
"CHA4",6208,5623
"CHA4post",16927,13895
"CHA5",6796,6433
"CHA5post",14025,12678
"CHA6",13786,11470
"CHA6post",10710,9574
"CHA7",13926,12012
"CHA7post",9305,8263
"CHA8",10509,8972
"CHA8post",11051,9956
"CHA9",12288,10660
"CHA9post",8108,7386
"CHABILGE",17971,11349
"CHABILGEpost",31328,25476
"CHABlank",63646,63231
"CHABlankpost",43283,42373
"DS1FALLzymo1",14231,12361
